GameId,GameDate,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsChallengeReversed,IsInterception,IsFumble,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,YardLineFixed,YardLineDirection,IsPenaltyAccepted,PenaltyTeam,IsNoPlay,PenaltyType,PenaltyYards
2016103000,2016-10-30,4,14,35,CIN,WAS,3,3,73,"(14:35) (NO HUDDLE, SHOTGUN) 14-A.DALTON PASS INCOMPLETE SHORT LEFT TO 85-T.EIFERT [36-S.CRAVENS]. PENALTY ON WAS-47-Q.DUNBAR, DEFENSIVE PASS INTERFERENCE, 7 YARDS, ENFORCED AT WAS 27 - NO PLAY.",0,NO HUDDLE SHOTGUN,PASS,0,1,1,0,SHORT LEFT,0,0,0,0,0,0,0,,27,OPP,1,WAS,1,DEFENSIVE PASS INTERFERENCE,7
2016100911,2016-10-09,1,0,15,GB,NYG,3,6,79,"(:15) 12-A.RODGERS PASS DEEP MIDDLE TO 18-R.COBB FOR 21 YARDS, TOUCHDOWN NULLIFIED BY PENALTY. PENALTY ON GB, ILLEGAL SHIFT, OFFSETTING, ENFORCED AT NYG 21 - NO PLAY. PENALTY ON NYG-97-M.HUGHES, DEFENSIVE 12 ON-FIELD, OFFSETTING.",21,UNDER CENTER,PASS,0,1,0,1,DEEP MIDDLE,0,0,0,0,0,0,0,,21,OPP,1,GB,1,ILLEGAL SHIFT,0
2016103000,2016-10-30,4,10,31,WAS,CIN,1,10,65,"(10:31) PENALTY ON WAS-76-M.MOSES, FALSE START, 5 YARDS, ENFORCED AT CIN 35 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,35,OPP,1,WAS,1,FALSE START,5
2016120402,2016-12-04,1,13,36,SF,CHI,2,10,56,"(13:36) (SHOTGUN) 24-S.DRAUGHN RIGHT GUARD TO CHI 15 FOR 29 YARDS (26-D.BUSH). PENALTY ON SF-89-V.MCDONALD, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CHI 35.",29,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,44,OPP,1,SF,0,OFFENSIVE HOLDING,10
2016101000,2016-10-10,2,0,15,CAR,TB,2,3,65,"(:15) (NO HUDDLE, SHOTGUN) PENALTY ON CAR-68-A.NORWELL, FALSE START, 5 YARDS, ENFORCED AT TB 35 - NO PLAY.",0,NO HUDDLE SHOTGUN,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,35,OPP,1,CAR,1,FALSE START,5
2016120402,2016-12-04,2,15,0,SF,CHI,2,11,67,"(15:00) (SHOTGUN) 7-C.KAEPERNICK PASS SHORT MIDDLE TO 24-S.DRAUGHN TO CHI 18 FOR 15 YARDS (37-B.CALLAHAN). PENALTY ON SF-65-J.GARNETT, OFFENSIVE HOLDING, 10 YARDS, ENFORCED AT CHI 33 - NO PLAY.",15,SHOTGUN,PASS,0,1,0,0,SHORT MIDDLE,0,0,0,0,0,0,0,,33,OPP,1,SF,1,OFFENSIVE HOLDING,10
2016101300,2016-10-13,1,10,52,SD,DEN,1,10,72,"(10:52) 28-M.GORDON RIGHT GUARD TO DEN 28 FOR NO GAIN (54-B.MARSHALL). PENALTY ON SD-15-D.INMAN, ILLEGAL SHIFT, 5 YARDS, ENFORCED AT DEN 28 - NO PLAY.",0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,28,OPP,1,SD,1,ILLEGAL SHIFT,5
2016101601,2016-10-16,3,9,24,CHI,JAX,4,7,31,"(9:24) (PUNT FORMATION) PENALTY ON JAX-16-D.ROBINSON, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT CHI 31 - NO PLAY.",0,UNDER CENTER,PUNT,0,0,0,0,,0,0,0,0,0,0,0,,31,OWN,1,JAX,1,NEUTRAL ZONE INFRACTION,5
2016101605,2016-10-16,2,12,38,CAR,NO,2,8,53,"(12:38) PENALTY ON NO-92-J.JENKINS, ENCROACHMENT, 5 YARDS, ENFORCED AT NO 47 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,47,OPP,1,NO,1,ENCROACHMENT,5
2016120403,2016-12-04,1,12,49,CIN,PHI,1,10,61,"(12:49) PENALTY ON PHI-96-B.LOGAN, NEUTRAL ZONE INFRACTION, 5 YARDS, ENFORCED AT PHI 39 - NO PLAY.",0,UNDER CENTER,NO PLAY,0,0,0,0,,0,0,0,0,0,0,0,,39,OPP,1,PHI,1,NEUTRAL ZONE INFRACTION,5
